Model,Accuracy,F1 Score,Execution Time
RF_CICIDS2018_CICIDS2019,0.9666666666666667,0.965943460902505,0.183241605758667
k-NN_CICIDS2018_CICIDS2019,0.8166666666666667,0.8083046089567846,0.0206148624420166
LGBM_CICIDS2018_CICIDS2019,0.9738095238095238,0.9746862017365056,1.7507424354553223
NN_CICIDS2018_CICIDS2019,0.611904761904762,0.5800026339176962,10.750922441482544
XGBoost_CICIDS2018_CICIDS2019,0.9595238095238096,0.9606500855081122,0.9924054145812988
RF_CICIDS2018_UNSW-NB15,0.9454545454545454,0.9456823910615912,0.1717548370361328
k-NN_CICIDS2018_UNSW-NB15,0.8954545454545455,0.9030642878834182,0.012949466705322266
LGBM_CICIDS2018_UNSW-NB15,0.95,0.9560958083382503,0.9042658805847168
NN_CICIDS2018_UNSW-NB15,0.7772727272727272,0.7709942429922527,10.134430408477783
XGBoost_CICIDS2018_UNSW-NB15,0.9454545454545454,0.9481067246425383,0.43347930908203125
RF_CICIDS2017_CICIDS2018_CICIDS2019,0.9586956521739131,0.9597796030935776,0.17920374870300293
k-NN_CICIDS2017_CICIDS2018_CICIDS2019,0.8195652173913044,0.8069128743437826,0.020661354064941406
LGBM_CICIDS2017_CICIDS2018_CICIDS2019,0.9565217391304348,0.9594345102184001,1.9836547374725342
NN_CICIDS2017_CICIDS2018_CICIDS2019,0.5804347826086956,0.5652387527449558,10.505630493164062
XGBoost_CICIDS2017_CICIDS2018_CICIDS2019,0.9652173913043478,0.9666115808819427,0.9906094074249268
RF_CICIDS2017_CICIDS2018_UNSW-NB15,0.9692307692307692,0.9691380796692413,0.17591452598571777
k-NN_CICIDS2017_CICIDS2018_UNSW-NB15,0.8923076923076924,0.8851678830032501,0.01604604721069336
LGBM_CICIDS2017_CICIDS2018_UNSW-NB15,0.9730769230769231,0.9733911867409533,1.1348793506622314
NN_CICIDS2017_CICIDS2018_UNSW-NB15,0.7769230769230769,0.77005934180553,10.033837080001831
XGBoost_CICIDS2017_CICIDS2018_UNSW-NB15,0.9730769230769231,0.9721750484565277,0.4703974723815918
RF_CICIDS2017_CICIDS2019_UNSW-NB15,0.9481481481481482,0.947499794720697,0.18984484672546387
k-NN_CICIDS2017_CICIDS2019_UNSW-NB15,0.7666666666666667,0.7706266256784895,0.026872634887695312
LGBM_CICIDS2017_CICIDS2019_UNSW-NB15,0.9481481481481482,0.9473739576516716,2.821413040161133
NN_CICIDS2017_CICIDS2019_UNSW-NB15,0.5833333333333334,0.5552846790653159,10.902523279190063
XGBoost_CICIDS2017_CICIDS2019_UNSW-NB15,0.95,0.9478781142825073,1.4776432514190674
RF_CICIDS2018_CICIDS2019_UNSW-NB15,0.9192307692307692,0.9222449219921264,0.1850574016571045
k-NN_CICIDS2018_CICIDS2019_UNSW-NB15,0.7423076923076923,0.7353481470867695,0.029397010803222656
LGBM_CICIDS2018_CICIDS2019_UNSW-NB15,0.9384615384615385,0.9382764083703261,2.510397434234619
NN_CICIDS2018_CICIDS2019_UNSW-NB15,0.5365384615384615,0.5081235310181083,10.936613321304321
XGBoost_CICIDS2018_CICIDS2019_UNSW-NB15,0.926923076923077,0.9261624967969442,1.4038169384002686
RF_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15,0.95,0.9535756350278669,0.18373918533325195
k-NN_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15,0.7392857142857143,0.7435596895117985,0.030077695846557617
LGBM_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15,0.9446428571428571,0.9485815994423923,2.889816999435425
NN_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15,0.4875,0.44956673392165714,9.945858716964722
XGBoost_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15,0.9321428571428572,0.9360025817073063,1.4736442565917969
