Model,Accuracy,F1 Score,Execution Time
LGBM_CICIDS2018_CICIDS2019_w_CICIDS2017,0.025714285714285714,0.0054855251941496675,0.06669807434082031
RF_CICIDS2018_UNSW-NB15_w_CICIDS2017,0.13285714285714287,0.030734637995838837,0.04770016670227051
k-NN_CICIDS2018_UNSW-NB15_w_CICIDS2017,0.13357142857142856,0.01999144750908702,0.03203868865966797
LGBM_CICIDS2018_UNSW-NB15_w_CICIDS2017,0.15714285714285714,0.06210541388817629,0.03945636749267578
RF_CICIDS2017_CICIDS2018_CICIDS2019_w_CICIDS2017,0.06,0.015165566850960112,0.05427241325378418
k-NN_CICIDS2017_CICIDS2018_CICIDS2019_w_CICIDS2017,0.01,0.003931161062890334,0.04633975028991699
LGBM_CICIDS2017_CICIDS2018_CICIDS2019_w_CICIDS2017,0.027142857142857142,0.013841840770188395,0.045114755630493164
RF_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICIDS2017,0.14785714285714285,0.029003783102143757,0.03827095031738281
k-NN_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICIDS2017,0.10071428571428571,0.04463590883824346,0.034476280212402344
LGBM_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICIDS2017,0.1357142857142857,0.02486910994764398,0.0375981330871582
RF_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICIDS2017,0.02857142857142857,0.004301677189784981,0.047432899475097656
k-NN_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICIDS2017,0.07071428571428572,0.02296093008978542,0.04888319969177246
LGBM_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICIDS2017,0.015714285714285715,0.002380952380952381,0.0547480583190918
RF_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017,0.1357142857142857,0.03017338694868712,0.046686410903930664
k-NN_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017,0.08785714285714286,0.04585619295136402,0.042816877365112305
LGBM_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017,0.075,0.026392294007635552,0.030686378479003906
RF_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017,0.175,0.05019821015270153,0.04655599594116211
k-NN_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017,0.04928571428571429,0.01880804191327812,0.0462186336517334
LGBM_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017,0.15071428571428572,0.03618487204582974,0.049065351486206055
RF_CICIDS2017_w_CICIDS2018,0.155,0.04661321671525753,0.04093742370605469
k-NN_CICIDS2017_w_CICIDS2018,0.14,0.04477611940298508,0.031583309173583984
LGBM_CICIDS2017_w_CICIDS2018,0.13583333333333333,0.041560927360789125,0.03199195861816406
RF_CICIDS2018_w_CICIDS2018,0.9866666666666667,0.9866507772794071,0.03795671463012695
k-NN_CICIDS2018_w_CICIDS2018,0.9725,0.9719773541933493,0.03206181526184082
LGBM_CICIDS2018_w_CICIDS2018,0.98,0.979676817346489,0.02803635597229004
RF_CICIDS2019_w_CICIDS2018,0.0025,0.003129890453834116,0.04765439033508301
k-NN_CICIDS2019_w_CICIDS2018,0.0008333333333333334,0.0005343307507347047,0.0405731201171875
